Activities,,,,,,,,,,Sleep,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-02-02,"3,083","10,190",7.51,22,597,338,11,0,"1,651",2022-02-02 11:36 PM,2022-02-03 4:05 AM,219,50,13,269,47,145,27
2022-02-03,"2,047","1,768",1.3,7,"1,069",102,0,0,349,2022-02-03 9:19 PM,2022-02-04 6:55 AM,505,71,25,576,177,242,86
2022-02-04,"2,644","6,127",4.52,28,581,283,0,0,"1,104",2022-02-05 1:09 AM,2022-02-05 9:21 AM,428,64,25,492,117,221,90
2022-02-05,"2,315","4,287",3.16,21,783,165,0,0,667,2022-02-06 1:44 AM,2022-02-06 7:05 AM,278,43,13,321,62,141,75
2022-02-06,"2,030","1,713",1.26,4,"1,022",97,0,0,341,2022-02-07 12:54 AM,2022-02-07 9:03 AM,444,45,28,489,133,221,90
2022-02-07,"3,367","14,036",10.34,63,604,156,128,63,"1,956",2022-02-07 10:54 PM,2022-02-08 7:00 AM,431,55,22,486,119,207,105
2022-02-08,"2,156","2,309",1.7,6,825,129,0,0,466,2022-02-08 10:36 PM,2022-02-09 6:43 AM,451,36,23,487,128,216,107
2022-02-09,"2,189","2,029",1.5,6,834,119,0,0,437,2022-02-09 10:31 PM,2022-02-10 6:14 AM,402,61,18,463,84,243,75
2022-02-10,"2,868","9,623",7.09,15,715,206,53,3,"1,278",2022-02-10 11:48 PM,2022-02-11 7:53 AM,417,68,27,485,112,216,89
2022-02-11,"2,557","8,222",6.06,42,784,103,24,44,906,2022-02-12 12:57 AM,2022-02-12 8:53 AM,405,71,26,476,85,233,87
2022-02-12,"2,395","7,547",5.56,39,826,82,13,43,744,2022-02-12 11:30 PM,2022-02-13 8:24 AM,470,64,22,534,108,267,95
2022-02-13,"2,086","1,518",1.12,8,805,101,0,0,368,2022-02-14 3:52 AM,2022-02-14 9:58 AM,329,37,16,366,49,217,63
2022-02-14,"2,116","2,238",1.65,8,975,99,0,0,387,2022-02-14 9:54 PM,2022-02-15 6:36 AM,449,73,29,522,88,305,56
2022-02-15,"2,770","2,990",2.2,8,667,251,0,0,"1,084",2022-02-15 11:21 PM,2022-02-16 6:45 AM,361,83,22,444,83,237,41
2022-02-16,"2,380","2,283",1.68,8,755,139,13,0,619,2022-02-16 10:10 PM,2022-02-17 8:15 AM,454,73,23,529,119,187,71
2022-02-17,"2,165","1,251",0.92,4,922,78,0,0,299,2022-02-17 9:49 PM,2022-02-18 6:58 AM,462,87,24,549,115,288,59
2022-02-18,"2,086","1,351",1,6,803,88,0,0,308,2022-02-19 1:44 AM,2022-02-19 9:26 AM,399,62,29,461,73,257,69
2022-02-19,"2,091","1,431",1.05,4,884,95,0,0,330,2022-02-19 10:43 PM,2022-02-20 8:23 AM,503,77,27,580,119,284,100
2022-02-20,"2,271","4,289",3.16,26,703,157,0,0,630,2022-02-20 10:38 PM,2022-02-21 7:09 AM,425,86,23,511,110,214,101
2022-02-21,"2,355","4,590",3.38,24,744,185,0,0,723,2022-02-21 11:18 PM,2022-02-22 7:00 AM,399,63,19,462,90,206,103
2022-02-22,"2,160","3,116",2.3,12,814,164,0,0,565,2022-02-22 10:34 PM,2022-02-23 7:00 AM,460,46,22,506,154,201,105
2022-02-23,"2,016","1,893",1.4,6,816,118,0,0,385,2022-02-23 9:36 PM,2022-02-24 7:34 AM,521,77,22,598,140,307,74
2022-02-24,"2,071","2,301",1.7,7,723,119,0,0,413,2022-02-24 11:07 PM,2022-02-25 7:04 AM,431,46,23,477,115,235,81
2022-02-25,"2,247","3,596",2.69,21,825,128,2,8,562,2022-02-26 12:30 AM,2022-02-26 9:33 AM,478,65,24,543,97,306,75
2022-02-26,"2,163","2,688",1.98,11,757,140,0,0,519,2022-02-26 11:57 PM,2022-02-27 8:27 AM,452,58,24,510,112,256,84
2022-02-27,"2,128","1,942",1.43,6,824,106,0,0,401,2022-02-27 9:43 PM,2022-02-28 7:02 AM,497,61,32,558,120,285,92
